Can I do in Gal?,Action_in_Gal
What to do in Gal?,Action_in_Gal
What to do here?,Action_in_Gal
What to do?,Action_in_Gal
What can I do in Gal?,Action_in_Gal
What can I do here?,Action_in_Gal
What can I do?,Action_in_Gal
Tell me,Action_in_Gal
Please tell me,Action_in_Gal
I don't know,Action_in_Gal
Help?,Action_in_Gal
Help,Action_in_Gal
Gal?,Action_in_Gal
people to the court,court
Teleport everyone to the court,court
veryone in the court,court
Bring everyone to the court,court
Bring people to the court,court
Everyone to the court,court
People in the court,court
Ahead,continue
On,continue
Move on,continue
Go on,continue
Continue,continue
Quota,Cost_Gal
Cost,Cost_Gal
Gal expensive,Cost_Gal
Gal cost,Cost_Gal
How many people can I have in Gal?,Cost_Gal
How many people can I have in Gal at once?,Cost_Gal
How much,Cost_Gal
How much does Gal cost?,Cost_Gal
Is Gal expensive?,Cost_Gal
Is Gal free?,Cost_Gal
Price,Cost_Gal
CEO?,Creators_of_LegalBotAI
Creator?,Creators_of_LegalBotAI
Creator of Gal,Creators_of_LegalBotAI
Creator of Gal?,Creators_of_LegalBotAI
Creator of Orble?,Creators_of_LegalBotAI
Creators?,Creators_of_LegalBotAI
CTO?,Creators_of_LegalBotAI
Designers?,Creators_of_LegalBotAI
Who started this?,Creators_of_LegalBotAI
Who started Gal?,Creators_of_LegalBotAI
Who made this?,Creators_of_LegalBotAI
Who made Gal?,Creators_of_LegalBotAI
Who designed Gal?,Creators_of_LegalBotAI
Who created Gal?,Creators_of_LegalBotAI
Developer?,Creators_of_LegalBotAI
Gal?,Creators_of_LegalBotAI
Orble,Creators_of_LegalBotAI
Where was Gal Made?,Creators_of_LegalBotAI
How can I create,design
How to design,design
How to customize,design
How to create,design
How can I design,design
How can I customize,design
design,design
customize,design
create,design
no way,do_not_get_in_touch
Not useful,do_not_get_in_touch
Not interested,do_not_get_in_touch
No need,do_not_get_in_touch
"No, I don't want to get in touch",do_not_get_in_touch
I want to leave,do_not_get_in_touch
Don't want to get in touch,do_not_get_in_touch
Don't to get in touch,do_not_get_in_touch
Can Gal run,Gal_run_on
Does Gal work on,Gal_run_on
Can Gal run on,Gal_run_on
Can Gal work,Gal_run_on
Can Gal work on,Gal_run_on
Does Gal run,Gal_run_on
Does Gal run on,Gal_run_on
Does Gal work,Gal_run_on
Time to work out,exercise
I need to lose weight,exercise
I feel fat,exercise
I need to trim down,exercise
I want some abs,exercise
I want to look good in this speedo,exercise
I ate too much pizza,exercise
Can I sit,gesture
Can I stand,gesture
gesture,gesture
gestures,gesture
How to sit,gesture
How to stand,gesture
sit,gesture
stand,gesture
What are the gestures,gesture
What gesture,gesture
What is the gesture,gesture
E-mail of the team,Get_in_Touch
E-mail,Get_in_Touch
Deal,Get_in_Touch
Contact,Get_in_Touch
"Yes, I want to contact the team",Get_in_Touch
"Yes, contact the team",Get_in_Touch
Why not,Get_in_Touch
Maybe,Get_in_Touch
Let's go,Get_in_Touch
I want to contact the team,Get_in_Touch
"Yes, I want to get in touch",Get_in_Touch
Get in touch with the team,Get_in_Touch
Get in touch,Get_in_Touch
Salut,goodbye
See you later,goodbye
Tschuss,goodbye
Bye,goodbye
Ciao,goodbye
farewell,goodbye
Goodbye,goodbye
I'm done,goodbye
Hey Gal,greeting
Hey there,greeting
Hey you,greeting
Hi,greeting
What's up,greeting
Howdy,greeting
Hello,greeting
Greetings,greeting
Good morning,greeting
Good evening,greeting
Hi there,greeting
Hello bot,greeting
Hello you,greeting
Hey,greeting
Hey bot,greeting
What to do,help
Help me,help
Assistance,help
Au secour,help
Services,help
Some assistance,help
Some support,help
Support,help
How it works,help
Where to go,help
How to,help
How does it work,help
Please help,help
How to leave,help
Moving faster?,Move
Can I move faster?,Move
How do I move,Move
How do I move?,Move
How to move?,Move
Move,Move
Move?,Move
Move faster?,Move
Next,Move
Next?,Move
no way,no
probably not,no
not interested,no
no,no
not,no
no question,no
nope,no
I'm hungry,order_pizza
How about a slice,order_pizza
Give me some food,order_pizza
Fresh pizza!,order_pizza
Let's order out,order_pizza
I want some pizza,order_pizza
I need some pizza,order_pizza
problem,problem
doesn’t work,problem
bug,problem
glitch,problem
not working,problem
Voice chat,problem_sound
echo,problem_sound
feedback,problem_sound
I hear an echo,problem_sound
microphone,problem_sound
microphone doesn't work,problem_sound
Sound problems,problem_sound
Voice doesn't work,problem_sound
Can’t hear,problem_sound
delay,problem_sound
Show anything?,Screen_in_Gal
Show,Screen_in_Gal
Screen works,Screen_in_Gal
Put content on screens,Screen_in_Gal
How to show something on screens?,Screen_in_Gal
How to do something?,Screen_in_Gal
How to?,Screen_in_Gal
How screen works,Screen_in_Gal
How screens work,Screen_in_Gal
How do the screens work?,Screen_in_Gal
How do I use the screens?,Screen_in_Gal
Do something,Screen_in_Gal
How do I put content on the screens?,Screen_in_Gal
How can I show a website?,Screen_in_Gal
How can I show a video?,Screen_in_Gal
Content on screen?,Screen_in_Gal
How can I show?,Screen_in_Gal
Do something?,Screen_in_Gal
Something on screens?,Screen_in_Gal
Show me,Screen_in_Gal
off,stop
exist,stop
fini,stop
I want to exit,stop
I want to leave,stop
i want to quit,stop
I want to stop,stop
leave,stop
out,stop
quit,stop
stop,stop
How many users can be in Gal at once?,Users_in_Gal
How many users can be in Gal together?,Users_in_Gal
How many users in Gal ?,Users_in_Gal
How many users can be in Gal at one time?,Users_in_Gal
How many people can be in Gal at once?,Users_in_Gal
How many people can be in Gal?,Users_in_Gal
How many people can be in Gal at one time?,Users_in_Gal
How many people can be in Gal together?,Users_in_Gal
How many people in Gal?,Users_in_Gal
How many users can be in Gal?,Users_in_Gal
ok yes,yes
ok maybe,yes
deal,yes
yes,yes
ok,yes
maybe,yes
let's move forward,yes
let's go,yes
why not,yes
sure why not,yes
sure,yes
ok why not,yes
